"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Start Date*",1,282,141.5,81.5505977905742,141.5,141.5,104.5233,1,282,281,0,-1.21277328905575,4.85626742811116
"End Date*",2,282,141.5,81.5505977905742,141.5,141.5,104.5233,1,282,281,0,-1.21277328905575,4.85626742811116
"Response Type*",3,282,1,0,1,1,0,1,1,0,NA,NA,0
"IP Address*",4,282,135.652482269504,78.1597948739739,135.5,135.597345132743,100.0755,1,271,270,0.000337051606135815,-1.20904355286701,4.65434805283794
"Progress*",5,282,1.69858156028369,1.85926499140678,1,1.15044247787611,0,1,10,9,2.84863853422873,7.20041642860161,0.110717619031846
"Duration (in seconds)*",6,282,106.762411347518,60.7095963956324,101.5,105.893805309735,74.8713,1,219,218,0.125188999212969,-1.10731107496898,3.6152038554886
"Finished*",7,282,1.82624113475177,0.379575599317559,2,1.9070796460177,0,1,2,1,-1.71288276632996,0.937328912450824,0.0226033980058046
"Recorded Date*",8,282,141.5,81.5505977905742,141.5,141.5,104.5233,1,282,281,0,-1.21277328905575,4.85626742811116
"Response ID*",9,282,141.5,81.5505977905742,141.5,141.5,104.5233,1,282,281,0,-1.21277328905575,4.85626742811116
"Recipient Last Name*",10,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Recipient First Name*",11,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Recipient Email*",12,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"External Data Reference*",13,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location Latitude*",14,233,101.982832618026,56.3677859261613,105,102.550802139037,71.1648,1,198,197,-0.0693387157323146,-1.16463123080366,3.69277643678743
"Location Longitude*",15,233,99.7854077253219,57.703958747327,97,99.6898395721925,75.6126,1,198,197,0.0348629948356592,-1.26030573741486,3.78031202876438
"Distribution Channel*",16,282,1,0,1,1,0,1,1,0,NA,NA,0
"User Language*",17,282,1,0,1,1,0,1,1,0,NA,NA,0
"C1.1 - I enjoy thinking about work even when I’m not at work.*",18,56,2.91071428571429,1.40488479908543,3,2.8695652173913,1.4826,1,6,5,0.271234083623251,-1.079990782907,0.187735628073729
"C1.1 - Most days, I feel happiest when the workday is soon to be complete.*",19,55,3.47272727272727,1.15236544895538,3,3.55555555555556,1.4826,1,5,4,-0.398106509203413,-0.520733901258356,0.155384925438622
"C1.1 - I am happiest when I am immersed in a project.*",20,55,3.78181818181818,0.875402745215005,4,3.82222222222222,1.4826,1,5,4,-0.551337435038954,0.415001487297499,0.11803928208478
