Condition2,Substantive,Attitudinal,Dimension,Block,Item
I知 able to concentrate on my work without distractions,Absorption,Cognitive,A,A,A
I have a hard time detaching mentally from my work,Absorption,Cognitive,A,A,B
Time passes quickly while I知 working,Absorption,Cognitive,A,A,C
I find it difficult to mentally disconnect from work,Absorption,Cognitive,A,A,D
I devote my full attention to my work tasks throughout the day,Vigor,Cognitive,A,B,A
Thinking about work saps my energy (r),Vigor,Cognitive,A,B,B
I would rather direct my focus toward a work task than a personal task,Vigor,Cognitive,A,B,C
I知 able to maintain good levels of energy throughout the workday,Vigor,Cognitive,A,B,D
I plan my future with this company.,Dedication,Cognitive,A,C,A
I believe this company cares about my career goals,Dedication,Cognitive,A,C,B
I often think about finding another job (r),Dedication,Cognitive,A,C,C
This organization challenges me to work at my full potential,Dedication,Cognitive,A,C,D
I enjoy thinking about work even when I知 not at work,Absorption,Affective,B,A,A
"Most days, I feel happiest when the workday is soon to be complete (r)",Absorption,Affective,B,A,B
I am happiest when I am immersed in a project,Absorption,Affective,B,A,C
I love starting my workday.,Absorption,Affective,B,A,D
I enjoy spending time completing my job tasks.,Vigor,Affective,B,B,A
Most days I feel enthusiastic about starting my work day.,Vigor,Affective,B,B,B
I feel motivated to go beyond what is asked of me,Vigor,Affective,B,B,C
This job drains my energy (r),Vigor,Affective,B,B,D
I am proud to be a member of this organization.,Dedication,Affective,B,C,A
I feel supported by my supervisor when I fail at a task,Dedication,Affective,B,C,B
I feel proud of my accomplishments within this organization,Dedication,Affective,B,C,C
My job makes me feel like I知 part of something meaningful,Dedication,Affective,B,C,D
I devote more time than is expected of me.,Absorption,Behavioral,C,A,A
I have to be reminded to take breaks while I知 at work,Absorption,Behavioral,C,A,B
I never miss a work deadline.,Absorption,Behavioral,C,A,C
I never allow distractions to interfere with my work,Absorption,Behavioral,C,A,D
When work is slow I find ways to be productive.,Vigor,Behavioral,C,B,A
I express enthusiasm for my job while at work,Vigor,Behavioral,C,B,B
I try my best to perform well at work,Vigor,Behavioral,C,B,C
"If I notice my energy level is low, I take corrective steps to re-energize.",Vigor,Behavioral,C,B,D
I make valued contributions to the organization,Dedication,Behavioral,C,C,A
I embrace challenging situations at work.,Dedication,Behavioral,C,C,B
I speak positively about this organization to others.,Dedication,Behavioral,C,C,C
This organization provides the resources necessary for me to successfully perform my job,Dedication,Behavioral,C,C,D
