"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Item_5",1,270,3.10740740740741,1.45551787585511,3,3.07407407407407,1.4826,1,6,5,0.181410923267668,-1.03877547062237,0.088579997050872
"Item_6",2,269,2.60966542750929,1.21865914493109,2,2.51612903225806,1.4826,1,6,5,0.540356304017532,-0.391492243633835,0.0743029594472367
"Item_7",3,267,4.61797752808989,1.0242064741783,5,4.69767441860465,1.4826,2,6,4,-0.569340879336476,-0.0238685282092281,0.0626804182979845
"Item_8",4,270,3.56666666666667,1.32505172796551,4,3.61574074074074,1.4826,1,6,5,-0.234084809309375,-0.603729593654823,0.0806400801408788
"Item_17",5,270,4.52592592592593,1.02626930840662,5,4.60648148148148,1.4826,1,6,5,-0.97412501769078,1.19759149370574,0.062456761143281
"Item_18",6,269,3.82156133828996,1.39753907407783,4,3.88018433179723,1.4826,1,6,5,-0.425288967559074,-0.749977547656976,0.0852094612173169
"Item_19",7,269,4.62081784386617,1.19907212272711,5,4.76497695852535,1.4826,1,6,5,-0.89920674853565,0.376409501951187,0.0731087176261603
"Item_20",8,269,3.24163568773234,1.36766180288836,3,3.25806451612903,1.4826,1,6,5,0.0491361606000052,-0.913460547002126,0.0833878118424125
"Item_29",9,268,4.73507462686567,1.20577620190963,5,4.91666666666667,1.4826,1,6,5,-1.28450833218649,1.57312602510777,0.073654504302678
"Item_30",10,263,4.45627376425856,1.38040699315521,5,4.61611374407583,1.4826,1,6,5,-0.807121614031128,-0.170505531977081,0.0851195416780551
"Item_31",11,268,4.98880597014925,0.996184514876426,5,5.12037037037037,1.4826,1,6,5,-1.42709946828581,2.84947691677739,0.0608516543294042
"Item_32",12,267,4.60299625468165,1.27426464566979,5,4.77674418604651,1.4826,1,6,5,-1.01163550586657,0.630040600410818,0.0779837298695018
"Item_9",13,271,4.46863468634686,1.29312053637981,5,4.60829493087558,1.4826,1,6,5,-0.658095419119073,-0.289484549886106,0.0785514784461648
"Item_10",14,269,3.72862453531599,1.57308233300444,4,3.76036866359447,1.4826,1,6,5,-0.081845233218987,-1.18152855449463,0.0959125226135347
"Item_11",15,269,4.55390334572491,1.20705080561653,5,4.67741935483871,1.4826,1,6,5,-0.798099071771177,-0.160522978036681,0.0735951865076688
"Item_12",16,271,3.2140221402214,1.35207209410451,3,3.1705069124424,1.4826,1,6,5,0.344006053050165,-0.663037049895924,0.0821325305489665
"Item_21",17,270,4.54444444444444,1.1837918200048,5,4.66666666666667,1.4826,1,6,5,-0.929398484635842,0.661446870234325,0.0720432759118585
"Item_22",18,271,4.76014760147601,1.1079002396859,5,4.91244239631336,1.4826,1,6,5,-1.16352539232491,1.52694821592613,0.0673001466992605
"Item_23",19,272,5.38235294117647,0.759285190448307,6,5.5045871559633,0,1,6,5,-1.71683890957183,5.42635532841054,0.0460384270615528
"Item_24",20,271,4.23247232472325,1.14237284492579,4,4.28110599078341,1.4826,1,6,5,-0.549843221107052,-0.238490381086635,0.0693942083364416
"Item_33",21,267,5.14232209737828,0.757398992743665,5,5.2046511627907,1.4826,2,6,4,-0.757893920780638,1.06763480556584,0.0463520656044792
"Item_34",22,269,4.98513011152416,0.88928220351328,5,5.06912442396313,1.4826,2,6,4,-0.827497680661462,0.699680409296254,0.0542204928914173
"Item_35",23,269,4.72118959107807,1.2549740131264,5,4.91244239631336,1.4826,1,6,5,-1.20394256201358,1.11629935203447,0.0765171160389892
"Item_36",24,270,4.5037037037037,1.2155991933491,5,4.62962962962963,1.4826,1,6,5,-0.868398349664976,0.270393988873579,0.0739790110091542
"Item_13",25,271,4.11070110701107,1.28044981504572,4,4.18433179723502,1.4826,1,6,5,-0.554346135704787,-0.37940046872649,0.0777817869396338
"Item_14",26,270,3.57037037037037,1.37714073025976,3,3.60648148148148,1.4826,1,6,5,-0.112092495235647,-0.942642445459736,0.0838101158691564
"Item_15",27,269,3.35315985130112,1.37331961652353,3,3.33179723502304,1.4826,1,6,5,0.168841535043045,-0.940727271859222,0.0837327748280369
"Item_16",28,271,4.14391143911439,1.21927035539101,4,4.2258064516129,1.4826,1,6,5,-0.617045576272934,-0.389496575622343,0.0740653994326588
"Item_25",29,265,3.93584905660377,1.62824202695481,4,4.04225352112676,1.4826,1,6,5,-0.536943531054565,-0.939396144136731,0.100022112618215
"Item_26",30,268,3.93283582089552,1.5419126271366,4,4.03240740740741,1.4826,1,6,5,-0.42547676456964,-0.875380495614429,0.0941873044516247
"Item_27",31,267,3.47940074906367,1.61132820583416,3,3.47441860465116,1.4826,1,6,5,-0.0113630923966612,-1.17884805194937,0.0986116847562937
"Item_28",32,268,4.28731343283582,1.33081719378154,5,4.39351851851852,1.4826,1,6,5,-0.628410605022185,-0.379183889174532,0.0812925985520541
"Item_1",33,270,3.74444444444444,1.39218032132622,4,3.76388888888889,1.4826,1,6,5,-0.22343377941788,-0.88301719613265,0.0847253962339069
"Item_2",34,272,3.71691176470588,1.51402082624266,4,3.72935779816514,1.4826,1,6,5,-0.0945611679985876,-1.10981028493921,0.0918009968526972
"Item_3",35,272,4.58823529411765,1.18084708000283,5,4.73394495412844,1.4826,1,6,5,-1.06775812803545,0.970993298947767,0.0715993711552036
"Item_4",36,273,3.66300366300366,1.56829377241771,4,3.66666666666667,1.4826,1,6,5,0.0121515469535813,-1.20895125513102,0.0949174570380221
