"","lhs","op","rhs","mi","epc","sepc.lv","sepc.all","sepc.nox"
"187","Item_2","~~","Item_4",192.410618089522,2.09121503798458,2.09121503798458,0.900211517060994,0.900211517060994
"572","Item_8","~~","Item_18",96.0512632853268,0.503859396282635,0.503859396282635,0.736430264228364,0.736430264228364
"674","Item_29","~~","Item_35",62.2496029237293,0.416459776027204,0.416459776027204,0.56467274961892,0.56467274961892
"329","Item_14","~~","Item_20",56.3777819135988,0.718066162185375,0.718066162185375,0.498544941100999,0.498544941100999
"177","Item_1","~~","Item_12",51.3865206556699,0.710561028355629,0.710561028355629,0.473528456733164,0.473528456733164
"154","Item_1","~~","Item_13",50.3308756021994,0.649452545082499,0.649452545082499,0.470257805889722,0.470257805889722
"307","Item_13","~~","Item_12",41.3983135585784,0.564097478821304,0.564097478821304,0.426644527690972,0.426644527690972
"431","Item_26","~~","Item_28",36.0873233060007,0.43228134323896,0.43228134323896,0.438561295956828,0.438561295956828
"289","Item_13","~~","Item_26",34.1230982495678,-0.471823977901791,-0.471823977901791,-0.404097671738198,-0.404097671738198
"145","Behavioral","=~","Item_19",32.9602775481777,2.51004046970676,1.18765276861354,0.975639635417816,0.975639635417816
"101","Cognitive","=~","Item_35",31.3653734799845,2.16833859632894,1.31608954592004,1.05905559165295,1.05905559165295
"323","Item_14","~~","Item_6",30.3306483553177,0.470404632664635,0.470404632664635,0.36504275664805,0.36504275664805
"131","Behavioral","=~","Item_13",29.6454993698804,2.90577302391587,1.37489790243079,1.08050371271255,1.08050371271255
"157","Item_1","~~","Item_16",28.8634333214487,0.442098356229249,0.442098356229249,0.359963671401235,0.359963671401235
"404","Item_25","~~","Item_27",28.5119225783109,0.531215733210158,0.531215733210158,0.377578029719241,0.377578029719241
"440","Item_26","~~","Item_29",28.2927501849555,0.332024039421853,0.332024039421853,0.377525683961865,0.377525683961865
"287","Item_13","~~","Item_16",27.7509265566106,0.383849103258316,0.383849103258316,0.354705256963737,0.354705256963737
"699","Item_31","~~","Item_33",27.1189775485688,0.166710271585476,0.166710271585476,0.351935005513658,0.351935005513658
"254","Item_4","~~","Item_14",25.4927069965427,-0.607867461700651,-0.607867461700651,-0.332591629018832,-0.332591629018832
"553","Item_7","~~","Item_19",24.9502514910758,0.295683683658757,0.295683683658757,0.332326982320072,0.332326982320072
"87","Cognitive","=~","Item_29",24.4456930850513,3.1797275298145,1.92995972490091,1.55808090237834,1.55808090237834
"454","Item_26","~~","Item_35",24.1466181961002,0.331965435402538,0.331965435402538,0.35334294936896,0.35334294936896
"455","Item_26","~~","Item_36",23.5299824841483,0.390252027328137,0.390252027328137,0.330435928832147,0.330435928832147
"189","Item_2","~~","Item_14",22.929661112494,-0.558177963777748,-0.558177963777748,-0.315914741780557,-0.315914741780557
"464","Item_27","~~","Item_20",22.5404210117092,0.459262156168634,0.459262156168634,0.322564144516559,0.322564144516559
"700","Item_31","~~","Item_34",22.5120853867452,0.17380239157462,0.17380239157462,0.32315875639539,0.32315875639539
"176","Item_1","~~","Item_11",22.4329605471262,0.447539650842375,0.447539650842375,0.309932165654583,0.309932165654583
"268","Item_4","~~","Item_20",22.4273927037682,-0.586187321136872,-0.586187321136872,-0.309545816635863,-0.309545816635863
"736","Item_11","~~","Item_12",22.1818740817728,0.428053464175393,0.428053464175393,0.309639657937083,0.309639657937083
"780","Item_35","~~","Item_36",21.9741761362227,0.323841730511071,0.323841730511071,0.326980385001943,0.326980385001943
"715","Item_9","~~","Item_10",21.5087518623533,0.540406192105215,0.540406192105215,0.305504977989336,0.305504977989336
"573","Item_8","~~","Item_19",21.0270442344059,-0.253151403030215,-0.253151403030215,-0.323012844547287,-0.323012844547287
"642","Item_19","~~","Item_34",20.3521563713398,0.209218145022586,0.209218145022586,0.306601787445319,0.306601787445319
"441","Item_26","~~","Item_30",20.1565737646017,0.414700850622307,0.414700850622307,0.305224385171707,0.305224385171707
"203","Item_2","~~","Item_20",19.7797472123489,-0.53286887095047,-0.53286887095047,-0.291074162504077,-0.291074162504077
"375","Item_16","~~","Item_25",19.7658627171407,-0.363293957392479,-0.363293957392479,-0.306782544999094,-0.306782544999094
"125","Affective","=~","Item_35",19.3714677688591,1.21348080486986,0.972022218007307,0.782185048413178,0.782185048413178
"306","Item_13","~~","Item_11",18.9473529790644,0.363754861847773,0.363754861847773,0.285898094656544,0.285898094656544
"634","Item_19","~~","Item_10",18.4484130381869,0.396511137271173,0.396511137271173,0.28620276265761,0.28620276265761
"140","Behavioral","=~","Item_6",18.2362100655139,-2.09959013905848,-0.993443759852133,-0.81705417699848,-0.81705417699848
"775","Item_33","~~","Item_34",16.6314348259743,0.128852570525684,0.128852570525684,0.278834755345534,0.278834755345534
"147","Behavioral","=~","Item_29",16.1735165184051,1.61740732365808,0.76529375087835,0.617831327031584,0.617831327031584
"776","Item_33","~~","Item_35",16.0981773058802,-0.161659268968886,-0.161659268968886,-0.2854780109874,-0.2854780109874
"208","Item_2","~~","Item_9",15.8362117569049,0.469010929691294,0.469010929691294,0.260196365600295,0.260196365600295
"578","Item_8","~~","Item_32",15.8162064345991,-0.199611615590719,-0.199611615590719,-0.29212338782851,-0.29212338782851
"305","Item_13","~~","Item_10",15.599761892275,0.422875680237986,0.422875680237986,0.260669793059136,0.260669793059136
"149","Behavioral","=~","Item_31",15.4213217295276,1.35929919863723,0.643167102729735,0.658499411028032,0.658499411028032
"273","Item_4","~~","Item_9",15.4086719942959,0.477957242622007,0.477957242622007,0.256337722773892,0.256337722773892
"221","Item_3","~~","Item_13",15.2697338481146,0.276212253842659,0.276212253842659,0.264410014711848,0.264410014711848
"689","Item_30","~~","Item_36",15.2601702296753,0.366502961253969,0.366502961253969,0.255886347781636,0.255886347781636
"403","Item_25","~~","Item_26",15.1527854547096,0.354692814979476,0.354692814979476,0.277602970083261,0.277602970083261
"226","Item_3","~~","Item_26",15.1388897044959,-0.27575754149674,-0.27575754149674,-0.275114059518338,-0.275114059518338
"274","Item_4","~~","Item_10",15.1270888702238,0.578211651635013,0.578211651635013,0.253636891828819,0.253636891828819
"527","Item_5","~~","Item_36",14.4255804566986,-0.328697353814856,-0.328697353814856,-0.251408551825781,-0.251408551825781
"142","Behavioral","=~","Item_8",14.3134010430114,-1.54847765502815,-0.732678933397931,-0.565112941180287,-0.565112941180287
"633","Item_19","~~","Item_9",14.2125935700677,0.285056361523057,0.285056361523057,0.251563170755162,0.251563170755162
"327","Item_14","~~","Item_18",14.1084616654376,0.256281295109804,0.256281295109804,0.264298675956445,0.264298675956445
"284","Item_4","~~","Item_36",14.083706026931,-0.423417731679969,-0.423417731679969,-0.244798241535412,-0.244798241535412
"219","Item_2","~~","Item_36",14.0234549849897,-0.408966163010746,-0.408966163010746,-0.244580268352382,-0.244580268352382
"505","Item_5","~~","Item_6",13.8910950431,0.316745133780844,0.316745133780844,0.247329175198822,0.247329175198822
"531","Item_6","~~","Item_18",13.7774152711773,0.233787198406016,0.233787198406016,0.260086133454063,0.260086133454063
"152","Item_1","~~","Item_3",13.6674861747782,0.295060003553785,0.295060003553785,0.248873112817509,0.248873112817509
"308","Item_13","~~","Item_21",13.1813346822535,0.266236358786215,0.266236358786215,0.244375409056912,0.244375409056912
"643","Item_19","~~","Item_35",13.1657775003134,-0.212619453202232,-0.212619453202232,-0.254270844372721,-0.254270844372721
"398","Item_16","~~","Item_24",12.9681375811172,0.242784568581226,0.242784568581226,0.240621960147487,0.240621960147487
"393","Item_16","~~","Item_11",12.8888681814302,0.269255650386603,0.269255650386603,0.237967946288501,0.237967946288501
"615","Item_18","~~","Item_32",12.8863070245719,-0.182339305382273,-0.182339305382273,-0.269923659297531,-0.269923659297531
"394","Item_16","~~","Item_12",12.7364484683232,0.280871864956581,0.280871864956581,0.238875407650072,0.238875407650072
"483","Item_28","~~","Item_7",12.646729254418,-0.212423012259018,-0.212423012259018,-0.241522081181019,-0.241522081181019
"267","Item_4","~~","Item_19",12.6115746864288,0.343438819983475,0.343438819983475,0.235176170844661,0.235176170844661
"202","Item_2","~~","Item_19",12.5473991818469,0.331613589369344,0.331613589369344,0.234893521428284,0.234893521428284
"320","Item_14","~~","Item_27",12.3626147322243,0.333644538657223,0.333644538657223,0.242802609273052,0.242802609273052
"108","Affective","=~","Item_14",12.2209807020967,2.28010845751038,1.82641214535252,1.30242539650276,1.30242539650276
