"","lhs","op","rhs","mi","epc","sepc.lv","sepc.all","sepc.nox"
"345","Item_8","~~","Item_18",96.6005166441206,0.521825557153403,0.521825557153403,0.791035139334525,0.791035139334525
"494","Item_14","~~","Item_20",62.6125958308208,0.772477348462345,0.772477348462345,0.528836811552321,0.528836811552321
"156","Item_1","~~","Item_12",46.8364125674461,0.684971143515769,0.684971143515769,0.457786879728614,0.457786879728614
"157","Item_1","~~","Item_13",45.6490723205351,0.589683091737821,0.589683091737821,0.454689295485397,0.454689295485397
"442","Item_12","~~","Item_13",42.5683722767001,0.553195254089471,0.553195254089471,0.436580116545707,0.436580116545707
"728","Item_31","~~","Item_33",37.3151123451925,0.201599890734779,0.201599890734779,0.410605181856205,0.410605181856205
"719","Item_29","~~","Item_35",35.0385167907238,0.25042106242804,0.25042106242804,0.462587581691596,0.462587581691596
"284","Item_6","~~","Item_14",30.4857629153998,0.472615370269201,0.472615370269201,0.369951481549323,0.369951481549323
"729","Item_31","~~","Item_34",27.6952194904789,0.200630929884224,0.200630929884224,0.355084699718835,0.355084699718835
"603","Item_19","~~","Item_34",26.7798342898223,0.249794832251966,0.249794832251966,0.348689401119296,0.348689401119296
"160","Item_1","~~","Item_16",26.1443629130112,0.405894844874284,0.405894844874284,0.347606724999905,0.347606724999905
"223","Item_4","~~","Item_14",24.7419847328798,-0.596003776974163,-0.596003776974163,-0.328477261149735,-0.328477261149735
"736","Item_33","~~","Item_34",24.1271496844965,0.163869486662029,0.163869486662029,0.324681085176232,0.324681085176232
"417","Item_11","~~","Item_12",24.020269814872,0.451608276601584,0.451608276601584,0.32224598481217,0.32224598481217
"364","Item_9","~~","Item_10",23.0779259598698,0.568360673012888,0.568360673012888,0.316508398368589,0.316508398368589
"318","Item_7","~~","Item_19",22.7350587391377,0.280897406010518,0.280897406010518,0.321015376909105,0.321015376909105
"346","Item_8","~~","Item_19",22.3508963821579,-0.272536029528474,-0.272536029528474,-0.351643165670978,-0.351643165670978
"677","Item_25","~~","Item_27",21.4761508973653,0.435288205232448,0.435288205232448,0.326277892101256,0.326277892101256
"612","Item_20","~~","Item_27",21.2734960317495,0.447837038462897,0.447837038462897,0.312627610474397,0.312627610474397
"501","Item_14","~~","Item_27",20.6971576495569,0.416839414152855,0.416839414152855,0.311266090527427,0.311266090527427
"155","Item_1","~~","Item_11",20.3481573996694,0.427666784345453,0.427666784345453,0.298154721529695,0.298154721529695
"229","Item_4","~~","Item_20",19.4011219253305,-0.559253255146192,-0.559253255146192,-0.288143685939375,-0.288143685939375
"399","Item_10","~~","Item_19",19.0345635844456,0.408733542592861,0.408733542592861,0.293011724533548,0.293011724533548
"688","Item_26","~~","Item_28",18.6029006578758,0.270023395806821,0.270023395806821,0.321002215447374,0.321002215447374
"468","Item_13","~~","Item_16",18.3303363093141,0.290519154044774,0.290519154044774,0.293794625321021,0.293794625321021
