"","fitMeasures(Fit1.1)"
"npar",75
"fmin",4.51717923949542
"chisq",2159.21167647881
"df",591
"pvalue",0
"baseline.chisq",4992.38447408664
"baseline.df",630
"baseline.pvalue",0
"cfi",0.640515024341784
"tli",0.616792665542004
"nnfi",0.616792665542004
"rfi",0.53895823966627
"nfi",0.567498920067881
"pnfi",0.53236803453987
"ifi",0.643700366166207
"rni",0.640515024341784
"logl",-12665.985333226
"unrestricted.logl",-11586.3794949866
"aic",25481.970666452
"bic",25742.7054328468
"ntotal",239
"bic2",25504.9763991877
"rmsea",0.105368221735941
"rmsea.ci.lower",0.100616892280841
"rmsea.ci.upper",0.110158557777697
"rmsea.pvalue",8.55981951985996e-14
"rmr",0.17601973523528
"rmr_nomean",0.17601973523528
"srmr",0.0975408348471965
"srmr_bentler",0.0975408348471965
"srmr_bentler_nomean",0.0975408348471965
"crmr",0.100288994929852
"crmr_nomean",0.100288994929852
"srmr_mplus",0.0975408282728991
"srmr_mplus_nomean",0.0975408282728991
"cn_05",72.7997231999376
"cn_01",75.5939850533386
"gfi",0.618836558779625
"agfi",0.570465563700897
"pgfi",0.549147757115253
"mfi",0.0375990097317274
"ecvi",9.66197354175235
