"","x"
"1","6 months "
"2","7 years"
"3","2.5 years"
"4","6 months"
"5","10 months"
"6","14"
"7","3 years"
"8","3 years"
"9","5"
"10","2 years"
"11","2 years"
"12","12 years"
"13","3+ years"
"14","1.5 years"
"15","5 years"
"16","A bit over a year"
"17","5 years"
"18","1 year"
"19","3 years"
"20","20 years"
"21","1.5 years"
"22",NA
"23","8 years"
"24","2 years"
"25","just this semester "
"26","4 years "
"27","2 years"
"28","4 years"
"29","1 year 1 month"
"30","5 years"
"31","15YEARS"
"32","3.5"
"33","20 years"
"34","15 years"
"35","8 months"
"36","2 years "
"37","12.5 years "
"38","15 years"
"39","7 years "
"40","1.5 years"
"41","5 years"
"42","7 years"
"43","3.5 years "
"44","3 months"
"45","4 semesters "
"46","15 years"
"47","<1 year"
"48","2 years"
"49","3 years"
"50","38 years"
"51","9 years"
"52",NA
"53","2 years"
"54","1 year"
"55",NA
"56",NA
"57","A year"
"58","2.5 months"
"59","99 Jack's "
"60",NA
"61","2 years"
"62","6 months"
"63","Almost a year"
"64",NA
"65","5 years"
"66","2 years"
"67","1 year"
"68","2 years"
"69","1.5 years"
"70","3 years"
"71","3 years"
"72","2 years"
"73","1.5 years"
"74","3 months"
"75","Over a year"
"76","1 year"
"77",NA
"78","3 years"
"79","18"
"80","3 years"
"81","1 year"
"82","5 years"
"83","10 years"
"84","No longer with the organization, was there for a year and a half."
"85","a month"
"86","16 years"
"87","4 years"
"88","2 years"
"89","9 years"
"90","11 years"
"91","8 years"
"92","9 months"
"93",NA
"94","4 years"
"95","3 yeats"
"96","4 1/2 years "
"97",NA
"98","1.5 Years"
"99","4 years."
"100","3 years"
"101","4 months"
"102","3 years"
"103","6 months "
"104","3 years"
"105","6.5 years"
"106","17years"
"107","1yr"
"108","21 years"
"109","14 years"
"110","3 years"
"111","7 years"
"112","1 year"
"113","17 years"
"114","2.5 years"
"115","33 years"
"116","32 years "
"117","11 years"
"118","9 yrs"
"119","Less than a year"
"120","A few months in this role, two years in this organization"
"121","3 years"
"122","Year and a half "
"123","1 year"
"124",NA
"125","2.5 years"
"126",NA
"127",NA
"128","Less than a year"
"129","I am self employed "
"130",NA
"131",NA
"132",NA
"133","3 years"
"134","18 years "
"135","Several months "
"136","2.5 years"
"137","2 Semesters "
"138","9 months "
"139",NA
"140","8 years"
"141","15 years"
"142","12 years"
"143","2.5 years"
"144","20 years"
"145","2.5 years"
"146","17"
"147","10 years"
"148","20 years"
"149","6.5 years"
"150","6 years"
"151","1 year"
"152","10"
"153","2 years"
"154","10 months "
"155","6 months"
"156","4 months"
"157","8 years"
"158","14 months"
"159","4 years"
"160","5 years"
"161","6 years"
"162","10 years"
"163","1.5 years"
"164","2 years"
"165","17 years "
"166","14 years"
"167","30 years"
"168","2 months"
"169","4 years"
"170","3"
"171","One year "
"172","20 years"
"173","2 months "
"174","40 years"
"175","3 years "
"176","1 year "
"177","12 years"
"178","3.5 years"
"179","2 years 3 months"
"180","10 years"
"181","22 years"
"182","1 year"
"183","31 years"
"184","41 yrs"
"185","16 years"
"186","Few months"
"187","35+ years "
"188","6 months"
"189","4 yeads"
"190","2.5 years"
"191","30 yrs, different location's "
"192","2 years"
"193",NA
"194","4 years"
"195","2 years"
"196",NA
"197","3 years "
"198","8 years"
"199","2 years"
"200","6 months"
"201","5years "
"202","2-1/2 years"
"203","3 years"
"204","1.5 years"
"205","Prefer not to say"
"206","4 months"
"207","4 years as of November"
"208",NA
"209","2 years "
"210","3years"
"211","4 years"
"212","27"
"213","1.5 years"
"214","4 years"
"215","6 years"
"216","4 years"
"217","22 years"
"218","1.7 years "
"219","2 yr"
"220","1.5 years"
"221","3.5 years"
"222","5 months"
"223","7"
"224","6 months "
"225","1 year"
"226","1 month"
"227","1.5 years"
"228","7 years"
"229","5 months"
"230","4 years"
"231","2.5 years "
"232","2 years"
"233","2 years "
"234","12 years"
"235","7 years"
"236","8 months"
"237",NA
"238","3 years "
"239","10 years"
"240","4 months "
"241","15 years"
"242","33 years "
"243","30 years"
"244","23 years"
"245","2 years"
"246","4 months"
"247","35+ years"
"248","6 years"
"249","7 years"
"250","1 year"
"251","3 years"
"252","2 yrs"
"253","Around 1 year"
"254","3 years"
"255","10 years"
"256",NA
"257","30 years"
"258","2 months"
"259","7 years "
"260","6 years "
"261","5"
"262","2 years"
"263","3 years "
"264",NA
"265",NA
"266",NA
"267","Nearly 4 years"
"268","2 and a half years"
"269","4"
"270",NA
"271","A year and 5 months"
"272","3 months "
"273","Since March 2020"
"274",NA
"275","25 years "
"276","2 years"
"277","12 years"
"278","12+ years"
"279","1.2 years"
"280","Eight Years"
"281","1.5 years"
"282","1 year"
