"","Var1","Freq"
"1","",3
"2","1 month",1
"3","1 year",5
"4","1.5 years",5
"5","1.7 years ",1
"6","10",1
"7","10 months",1
"8","10 months ",1
"9","10 years",2
"10","11 years",1
"11","12 years",2
"12","14",1
"13","14 months",1
"14","15 years",1
"15","16 years",1
"16","17",1
"17","18",1
"18","2 years",5
"19","2 years ",1
"20","2 yr",1
"21","2.5 years",3
"22","20 years",2
"23","22 years",1
"24","27",1
"25","3 months",1
"26","3 years",7
"27","3.5 years",1
"28","3+ years",1
"29","3years",1
"30","4 months",1
"31","4 years",4
"32","5",1
"33","5 months",1
"34","5 years",3
"35","6 months",2
"36","6 months ",2
"37","6 years",2
"38","6.5 years",1
"39","7",1
"40","7 years",1
"41","8 years",2
"42","9 years",1
"43","A bit over a year",1
"44","a month",1
"45","No longer with the organization, was there for a year and a half.",1
"46","Over a year",1
