"","Duration (in seconds)","I enjoy thinking about work even when I’m not at work.","Most days, I feel happiest when the workday is soon to be complete.","I am happiest when I am immersed in a project.","I love starting my workday.","I enjoy spending time completing my job tasks.","Most days I feel enthusiastic about starting my work day.","I feel motivated to go beyond what is asked of me.","This job drains my energy.","I am proud to be a member of this organization.","I feel supported by my supervisor when I fail at a task.","I feel proud of my accomplishments within this organization.","My job makes me feel like I’m part of something meaningful.","I devote more time than is expected of me.","I have to be reminded to take breaks while I’m at work.","I never miss a work deadline.","I never allow distractions to interfere with my work.","When work is slow I find ways to be productive.","I express enthusiasm for my job while at work.","I try my best to perform well at work.","If I notice my energy level is low, I take corrective steps to re-energize.","I make valued contributions to the organization.","I embrace challenging situations at work.","I speak positively about this organization to others.","This organization provides the resources necessary for me to successfully perform my job.","I devote my full attention to my work tasks throughout the day.","Thinking about work saps my energy.","I would rather direct my focus toward a work task than a personal task.","I’m able to maintain good levels of energy throughout the workday.","I plan my future with this company.","I believe this company cares about my career goals.","I often think about finding another job.","This organization challenges me to work at my full potential.","I’m able to concentrate on my work without distractions.","I have a hard time detaching mentally from my work.","Time passes quickly while I’m working.","I find it difficult to mentally disconnect from work.","What is the title of the job you were thinking about while responding to this survey?","How many hours do you typically work per week in this job?","How long have you been with this organization?","Any general comments or reactions you'd care to share with the scale development team?","Condition"
"8","260","3","4","5","3","5","5","5","3","6","5","5","5","5","5","6","4","5","5","6","3","5","5","4","6","4","2","5","3","4","6","2","5","4","4","4","4","Professional development associate ","55","6 months ",NA,1
"13","437","4","5","4","3","5","4","5","4","5","4","5","5","5","5","3","2","4","5","5","4","5","5","5","4","4","4","3","4","5","5","4","5","4","5","5","5","VP of Business Intelligence","60","7 years","I would answer differently if it wasn't wfh during covid",1
"17","301","3","4","5","4","5","5","5","3","5","5","6","5","6","3","6","2","6","5","6","5","6","6","5","6","5","2","1","5","5","6","2","6","6","3","5","3","Senior Analyst","45","2.5 years",NA,1
"23","231","1","4","4","2","4","4","4","5","3","4","4","3","2","2","5","3","3","4","5","5","4","4","3","5","4","4","4","5","1","2","5","4","5","2","5","2","Front end associate","25-30","6 months",NA,1
"25","441","2","6","4","2","3","3","1","6","3","5","4","1","5","1","2","1","3","1","5","5","4","3","4","5","1","5","1","2","1","2","6","3","2","4","3","4","Data Analyst","45+ ","10 months",NA,1
"30","434","5","2","5","3","5","3","5","4","4","5","5","2","3","2","5","1","5","4","5","4","5","5","5","6","3","3","2","3","5","5","5","5","2","2","5","2","Director of Learning Measurement & Analytics","50","14","reverse scored items are a pain to answer, I know it's good psychometrically, but in the business world I never use them because people mess them up and it makes data analysis harder than it has to be. ",1
"33","531","4","4","5","3","5","4","5","4","6","5","6","6","4","4","5","5","4","6","6","3","6","5","6","5","2","4","4","5","6","6","2","5","3","4","5","4","Sr. Program Manager","45-50","3 years","The environment changed from in the office to working from home due to COVID, but my answers are the same in either case.",1
"36","307","1","6","5","2","3","2","5","6","2","5","5","4","6","4","5","2","3","4","5","3","6","6","1","5","5","6","2","2","4","1","5","2","3","6","4","6","Technical Support Specialist","40","3 years",NA,1
"37","4287","4","3","3","4","5","4","5","2","6","6","6","6","2","2","5","2","5","5","5","4","5","6","5","5","3","4","3","2","5","4","4","5","4","4","5","4","Organization Development Consultant","40","5","IMO, challenges of wfh, generalized anxiety around COVID, and racial unrest, are going to impact burnout, engagement, etc., even if someone typically feels engaged and committed to their job. Might result in some funky responses to various items.",1
"47","285","1","6","5","2","4","2","6","5","4","6","5","4","6","5","4","2","4","4","6","4","5","5","4","5","5","6","3","2","2","4","6","6","2","6","5","6","Survey Specialist","45","2 years","No",1
