"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"X1",1,0.156369462705898,0.104948018146134,0.120035123303903,0.28226425847757,-0.0232752703062489,-0.132121559127259,0.191171577630735,0.0921535705518626,0.0971597042200246,0.296913030918564,0.176878703001398,0.174546869315893,-0.067475499959765
"X2",0.156369462705898,1,0.231055655357588,0.494927211332615,0.164550003876875,0.0969715116174275,0.324212698709729,0.266460444274463,0.492392524133172,0.428367234198972,0.418574603988656,0.399606626595135,0.417392432897547,0.238785296438521
"X3",0.104948018146134,0.231055655357588,1,0.229343078790981,0.176445988172525,0.0503110736550727,0.130943110247637,0.294962506902288,0.113882419761829,0.344311408858397,0.404366624059912,0.210933108307002,0.246169247858872,0.118275699240215
"X4",0.120035123303903,0.494927211332615,0.229343078790981,1,0.157742255612375,0.126605527525563,0.496058299375141,0.334541999826402,0.489590145771478,0.561237255664531,0.350948596331549,0.32779220420833,0.437547037419013,0.225297391188217
"X5",0.28226425847757,0.164550003876875,0.176445988172525,0.157742255612375,1,0.131363620210816,-0.0315668066149825,0.170703619319833,0.149320944911178,0.249274614285966,0.399453481978327,0.204384723199846,0.331245647874356,0.159688398909394
"X6",-0.0232752703062489,0.0969715116174275,0.0503110736550727,0.126605527525563,0.131363620210816,1,-0.010667922587387,0.0708239416821053,0.266281847190598,0.0628566281063424,0.104875246159175,0.189164329930928,0.170246900573736,0.108755815535173
"X7",-0.132121559127259,0.324212698709729,0.130943110247637,0.496058299375141,-0.0315668066149825,-0.010667922587387,1,0.168147419746158,0.448456100041891,0.375716304513782,0.210710135882833,0.220784161844959,0.318041393069968,0.166217722775529
"X8",0.191171577630735,0.266460444274463,0.294962506902288,0.334541999826402,0.170703619319833,0.0708239416821053,0.168147419746158,1,0.288652578637246,0.375294124435826,0.316787692791821,0.244150218653036,0.345505363678707,0.0611473243211804
"X9",0.0921535705518626,0.492392524133172,0.113882419761829,0.489590145771478,0.149320944911178,0.266281847190598,0.448456100041891,0.288652578637246,1,0.34633881509282,0.361107021642633,0.371751845835197,0.420769403528721,0.389510274433317
"X10",0.0971597042200246,0.428367234198972,0.344311408858397,0.561237255664531,0.249274614285966,0.0628566281063424,0.375716304513782,0.375294124435826,0.34633881509282,1,0.518747013256253,0.366698849861646,0.517166042766325,0.21979654920802
"X11",0.296913030918564,0.418574603988656,0.404366624059912,0.350948596331549,0.399453481978327,0.104875246159175,0.210710135882833,0.316787692791821,0.361107021642633,0.518747013256253,1,0.455294799778868,0.579583458361761,0.267437624330501
"X12",0.176878703001398,0.399606626595135,0.210933108307002,0.32779220420833,0.204384723199846,0.189164329930928,0.220784161844959,0.244150218653036,0.371751845835197,0.366698849861646,0.455294799778868,1,0.418857529167043,0.302909559237191
"X13",0.174546869315893,0.417392432897547,0.246169247858872,0.437547037419013,0.331245647874356,0.170246900573736,0.318041393069968,0.345505363678707,0.420769403528721,0.517166042766325,0.579583458361761,0.418857529167043,1,0.327656459951605
"X14",-0.067475499959765,0.238785296438521,0.118275699240215,0.225297391188217,0.159688398909394,0.108755815535173,0.166217722775529,0.0611473243211804,0.389510274433317,0.21979654920802,0.267437624330501,0.302909559237191,0.327656459951605,1
